1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country_x,place_slug,iata_code,city,country_y,rank,overall_score,cost_score,internet_score,like_score,temperature_c,temperature_f,feels_like_c,feels_like_f,internet_speed_mbps,monthly_cost_usd,monthly_cost_cents,image_url
979.0,3.0,46.0,1464.0,3.0,1.2,4.03,1.0,2172.974399823029,1251.646784511757,3.0,2.0,3.0,3.0,2.0,3.0,14.0,2.0,4.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.01,Asia,South Korea,seoul,ICN,seoul,South Korea,8,3.3599999999999994,3.7782857142857145,2.571428571428571,4.5,18.0,64.0,18.0,64.0,32.0,2569.0,2569,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/seoul-south-korea.jpg?1720224019"
366.0,2.0,20.0,1190.0,1.0,0.58,1.75,3.0,837.0,509.0,3.0,1.0,3.0,3.0,2.0,2.0,15.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,2.0,4.8,Asia,Indonesia,canggu bali,MWS,canggu bali,Indonesia,4,3.44,4.405714285714286,2.0785714285714283,2.6190476190476195,31.0,88.0,31.0,88.0,23.0,2020.0,2020,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/canggu-bali-indonesia.jpg?1741564808"
1380.0,2.0,17.0,2562.0,2.0,1.74,3.34,1.0,2670.0,1906.0,3.0,2.0,3.0,3.0,3.0,3.0,56.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.33,North America,United States,austin tx,AUS,austin tx,United States,29,3.03,2.3188571428571434,5.0,4.090909090909091,36.0,97.0,36.0,97.0,96.0,3846.0,3846,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/austin-tx-united-states.jpg?1705536193"
896.0,3.0,95.0,1159.0,2.0,0.94,2.02,2.0,1457.0,1057.0,2.166797576297051,1.0,3.0,4.0,3.0,1.0,15.0,3.0,4.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,4.0,3.47,Latin America,Brazil,rio de janeiro,GIG,rio de janeiro,Brazil,59,2.94,4.285714285714286,1.4428571428571428,4.166666666666667,24.0,75.0,24.0,75.0,12.0,2125.0,2125,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/rio-de-janeiro-brazil.jpg?1705536108"
314.0,3.0,40.0,1068.0,1.0,1.58,3.85,2.0,1344.0,810.0,3.0,1.0,3.0,4.0,2.0,4.0,9.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.31,Europe,Greece,athens,MMI,athens,Greece,67,2.9100000000000006,2.994285714285714,1.457142857142857,4.444444444444445,21.0,70.0,21.0,70.0,13.0,3255.0,3255,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/athens-greece.jpg?1720483220"
455.0,2.0,14.0,1373.0,2.0,0.44,1.02,3.0,880.0,514.0,2.0,1.0,3.0,2.0,1.0,1.0,17.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,4.2,Asia,Vietnam,da nang,DAD,da nang,Vietnam,11,3.2,5.0,1.2857142857142856,3.421052631578948,31.0,88.0,31.0,88.0,10.0,1120.0,1120,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/da-nang-vietnam.jpg?1705536080"
324.0,2.0,19.0,3477.0,3.0,0.53,1.29,2.0,1312.0,434.0,3.0,2.0,3.0,1.0,2.0,3.0,13.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,4.0,3.0,4.0,4.0,4.15,Europe,Croatia,zadar,ZAD,zadar,Croatia,40,2.9799999999999995,4.164571428571429,1.7285714285714289,5.0,21.0,70.0,21.0,70.0,17.0,2231.0,2231,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/zadar-croatia.jpg?1709769715"
1547.0,2.0,19.0,2074.0,1.0,2.21,3.93,1.0,2369.0,1591.0,4.0,4.0,4.0,3.0,4.0,3.0,22.0,4.0,3.0,4.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.19,Europe,Finland,helsinki,HEL,helsinki,Finland,90,2.88,2.3600000000000003,2.185714285714286,4.666666666666666,8.0,46.0,8.0,46.0,25.0,3810.0,3810,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/helsinki-finland.jpg?1706140831"
656.0,3.0,10.0,1586.0,1.0,0.86,3.37,3.0,1270.0,904.0,4.0,2.0,4.0,2.0,3.0,4.0,25.0,4.0,3.0,2.0,3.0,3.0,0.0,0.0,3.0,3.0,4.0,4.0,4.27,Asia,Taiwan,taipei,TSA,taipei,Taiwan,32,3.02,4.089142857142857,2.0285714285714285,4.285714285714286,29.0,84.0,29.0,84.0,23.0,2297.0,2297,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/taipei-taiwan.jpg?1728864030"
2010.0,3.0,28.0,1678.0,2.0,1.6,3.12,1.0,2133.0,1592.0,3.0,2.0,3.0,3.0,2.0,4.0,19.0,3.0,4.0,3.0,3.0,1.0,0.0,1.0,4.0,4.0,4.0,4.0,4.15,Asia,Japan,tokyo,HND,tokyo,Japan,2,3.5699999999999994,2.838857142857143,2.2928571428571427,4.5,17.0,63.0,17.0,63.0,27.0,3391.0,3391,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/tokyo-japan.jpg?1735948808"
2616.0,3.0,22.0,2562.0,3.0,1.99,3.2,1.0,3001.0,2168.0,3.0,2.0,3.0,4.0,3.0,2.0,16.0,3.0,4.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.53,Europe,United Kingdom,london,YXU,london,United Kingdom,44,2.97,1.0,1.9857142857142855,3.1818181818181817,21.0,70.0,21.0,70.0,22.0,5962.0,5962,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/london-united-kingdom.jpg?1705795285"
323.0,3.0,26.0,1129.0,1.0,1.1,1.96,3.0,992.0,555.0,3.0,2.0,3.0,4.0,3.0,2.0,8.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,4.0,4.0,4.38,Latin America,Argentina,buenos aires,BAI,buenos aires,Argentina,18,3.12,4.859428571428571,1.4285714285714284,2.93103448275862,21.0,70.0,21.0,70.0,12.0,1623.0,1623,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/buenos-aires-argentina.jpg?1705536028"
639.0,3.0,23.0,1525.0,2.0,1.15,1.99,3.0,1223.0,806.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,1.0,3.0,1.0,4.0,4.08,Africa,South Africa,cape town,CPT,cape town,South Africa,10,3.2300000000000004,4.128,1.2285714285714286,4.25925925925926,16.0,61.0,16.0,61.0,9.0,2263.0,2263,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/cape-town-south-africa.jpg?1731024014"
663.0,2.0,17.0,1312.0,2.0,1.5,2.43,2.0,1450.0,934.0,4.0,3.0,4.0,2.0,4.0,3.0,17.0,4.0,1.0,4.0,3.0,4.0,0.0,1.0,3.0,4.0,4.0,4.0,4.39,North America,Canada,winnipeg,YWG,winnipeg,Canada,68,2.9100000000000006,3.0788571428571427,2.1642857142857146,5.0,12.0,54.0,12.0,54.0,25.0,3181.0,3181,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/winnipeg-canada.jpg?1706054681"
675.0,2.0,18.0,1190.0,2.0,1.3,3.32,2.0,1339.0,959.0,3.0,2.0,2.0,4.0,2.0,4.0,17.0,2.0,1.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,1.0,3.1,Asia,Japan,kobe,UKB,kobe,Japan,69,2.9100000000000006,3.931428571428571,2.314285714285714,5.0,17.0,63.0,17.0,63.0,28.0,2435.0,2435,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/kobe-japan.jpg?1730073630"
603.0,2.0,17.0,1251.0,3.0,1.58,2.43,2.0,1370.0,848.0,4.0,3.0,3.0,3.0,3.0,4.0,36.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,4.56,Europe,Spain,valencia,VLN,valencia,Spain,91,2.88,2.8262857142857145,2.6,4.25,21.0,70.0,21.0,70.0,33.0,3402.0,3402,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/valencia-spain.jpg?1705795228"
711.0,2.0,32.0,2776.0,2.0,1.34,2.84,2.0,1748.0,966.0,2.0,2.0,2.0,2.0,2.0,4.0,15.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,4.0,3.0,4.0,4.0,3.84,Asia,Japan,osaka,KIX,osaka,Japan,84,2.89,3.235428571428572,2.142857142857143,4.166666666666667,18.0,64.0,18.0,64.0,25.0,3044.0,3044,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/osaka-japan.jpg?1722816193"
713.0,3.0,27.0,1739.0,2.0,1.47,2.25,2.0,1395.0,881.0,4.0,2.0,3.056887001919671,4.0,3.06937161456992,3.0,24.0,3.0,4.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,4.55,Europe,Czechia,prague,PRG,prague,Czechia,41,2.9799999999999995,2.5588571428571427,2.007142857142857,4.6875,23.0,73.0,23.0,73.0,22.0,3636.0,3636,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/prague-czechia.jpg?1705622429"
813.0,2.0,13.0,1891.0,2.0,1.81,3.17,2.0,1760.0,1136.0,4.0,3.0,4.0,2.0,4.0,3.0,43.0,4.0,3.0,4.0,3.0,4.0,0.0,1.0,4.0,3.0,4.0,4.0,4.18,Oceania,New Zealand,wellington,WLG,wellington,New Zealand,79,2.89,2.793142857142857,2.242857142857143,5.0,8.0,46.0,8.0,46.0,26.0,3431.0,3431,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/wellington-new-zealand.jpg?1710892866"
830.0,3.0,21.0,1556.0,2.0,1.13,2.26,2.0,1483.0,1018.0,3.419581894035847,3.0,4.0,3.0,4.0,3.0,30.0,2.0,2.0,4.0,3.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,3.82,Oceania,New Zealand,christchurch,CHC,christchurch,New Zealand,51,2.95,2.8514285714285714,2.4142857142857146,5.0,10.0,50.0,10.0,50.0,29.0,3380.0,3380,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/christchurch-new-zealand.jpg?1705449732"
1512.0,4.0,14.0,1830.0,2.0,2.15,3.62,1.0,1980.0,1258.0,3.0,3.0,3.0,2.0,4.0,3.0,25.0,4.0,2.0,4.0,3.0,4.0,0.0,1.0,4.0,3.0,4.0,4.0,4.1,Oceania,New Zealand,auckland,AKL,auckland,New Zealand,20,3.1,3.1920000000000006,2.242857142857143,5.0,16.0,61.0,16.0,61.0,26.0,3082.0,3082,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/auckland-new-zealand.jpg?1705708900"
1658.0,4.0,19.0,2044.0,2.0,2.22,3.01,1.0,2260.0,1588.0,4.0,3.0,3.0,4.0,4.0,3.0,21.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.18,Oceania,Australia,melbourne,MLB,melbourne,Australia,26,3.05,2.755428571428572,1.6142857142857143,4.583333333333333,19.0,66.0,19.0,66.0,15.0,3464.0,3464,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/melbourne-australia.jpg?1722124820"
1118.0,2.0,20.0,2440.0,1.0,2.61,3.07,1.0,2321.0,1439.0,4.0,3.0,4.0,3.0,3.0,3.0,29.0,4.0,4.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.95,Europe,Germany,munich,MUC,munich,Germany,97,2.87,1.0,2.257142857142857,4.62962962962963,23.0,73.0,23.0,73.0,27.0,5021.0,5021,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/munich-germany.jpg?1709769632"
436.0224599665397,2.0,10.0,1159.0,3.0,0.36,1.43,3.0,471.0,688.2277711591838,2.0,1.0,3.0,2.0,3.0,1.0,22.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,4.0,3.65,Asia,Thailand,krabi,KBV,krabi,Thailand,76,2.8999999999999995,5.0,2.171428571428572,5.0,43.0,109.0,43.0,109.0,25.0,1477.0,1477,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/krabi-thailand.jpg?1705449839"
2739.0,2.0,16.0,3050.0,2.0,2.77,4.67,1.0,3829.0,2980.0,3.0,2.0,4.0,4.0,3.0,3.0,20.0,4.0,4.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.61,North America,United States,new york city ny,JFK,new york city ny,United States,27,3.05,1.0,2.171428571428572,4.285714285714286,18.0,64.0,18.0,64.0,25.0,7708.0,7708,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/new-york-city-ny-united-states.jpg?1734566523"
1208.0,2.0,29.0,2257.0,3.0,0.94,1.28,2.0,1792.0,1211.0,3.0,2.0,2.0,3.0,2.0,2.0,37.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,4.0,4.0,4.93,Europe,Hungary,budapest,BUD,budapest,Hungary,63,2.9300000000000006,3.738285714285715,2.8571428571428568,4.285714285714286,23.0,73.0,23.0,73.0,37.0,2604.0,2604,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/budapest-hungary.jpg?1705536037"
2134.0,2.0,17.0,2349.0,2.0,2.32,2.89,1.0,2810.0,2079.0,3.0,3.0,4.0,2.0,4.0,3.0,19.0,4.0,1.0,4.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.38,Oceania,Australia,sydney,SYD,sydney,Australia,39,2.9900000000000007,2.4148571428571426,1.6142857142857143,4.444444444444445,16.0,61.0,16.0,61.0,15.0,3762.0,3762,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/sydney-australia.jpg?1704240162"
754.0,3.0,24.0,2379.0,3.0,1.3,1.29,2.0,1602.0,871.0,3.0,3.0,3.0,3.0,2.0,4.0,30.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.46,Europe,Portugal,lisbon,LIS,lisbon,Portugal,5,3.4199999999999995,2.218285714285714,2.2285714285714286,2.0642201834862397,18.0,64.0,18.0,64.0,26.0,3934.0,3934,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/lisbon-portugal.jpg?1705449625"
628.0,4.0,42.0,1342.0,3.0,0.61,2.38,3.0,1080.0,778.0,3.0,1.0,3.0,3.0,3.0,1.0,19.0,3.0,4.0,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,4.0,4.9,Asia,Thailand,bangkok,BKK,bangkok,Thailand,1,4.52,4.964571428571428,2.171428571428572,3.292682926829269,43.0,109.0,43.0,109.0,25.0,1531.0,1531,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/bangkok-thailand.jpg?1705449619"
347.0,2.0,46.0,1007.0,3.0,0.4,2.22,3.0,728.0,509.0,2.0,1.0,3.0,3.0,3.0,1.0,20.0,2.0,2.0456126140850026,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,4.0,4.97,Asia,Thailand,chiang mai,CNX,chiang mai,Thailand,6,3.41,5.0,1.914285714285714,4.285714285714286,39.0,102.0,39.0,102.0,21.0,1071.0,1071,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/chiang-mai-thailand.jpg?1705449622"
1085.0,3.0,24.0,1952.0,3.0,2.19,2.27,1.0,2021.0,1301.0,3.0,3.0,2.0,3.0,3.0,4.0,29.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,4.0,4.0,4.0,4.029474577106795,Europe,Spain,barcelona,BLA,barcelona,Spain,17,3.13,1.0,2.6,2.727272727272727,21.0,70.0,21.0,70.0,33.0,5175.0,5175,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/barcelona-spain.jpg?1705795235"
536.0,2.0,33.0,976.0,2.0,1.02,2.01,3.0,1080.0,724.0,3.0,2.0,3.0,4.0,2.0,3.0,28.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.11,Europe,Poland,warsaw,WMI,warsaw,Poland,15,3.14,3.210285714285715,2.0928571428571425,4.4,21.0,70.0,21.0,70.0,24.0,3066.0,3066,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/warsaw-poland.jpg?1705708829"
389.0,2.0,27.0,915.0,2.0,0.93,1.97,3.0,891.0,580.0,2.0,2.0,2.0,2.0,2.0,3.0,29.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,4.089206639380559,Europe,Poland,poznan,POZ,poznan,Poland,88,2.88,3.4262857142857137,2.0928571428571425,5.0,22.0,72.0,22.0,72.0,24.0,2877.0,2877,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/poznan-poland.jpg?1711843308"
1547.0,2.0,27.0,2959.0,2.0,3.17,5.79,1.0,3489.0,2495.0,4.0,4.0,3.0,3.0,4.0,3.0,41.0,3.0,3.0,4.0,3.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,4.33,Europe,Denmark,copenhagen,CPH,copenhagen,Denmark,89,2.88,1.0,3.35,4.583333333333333,13.0,55.0,13.0,55.0,46.0,5797.0,5797,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/copenhagen-denmark.jpg?1705622563"
518.0,2.0,32.0,763.0,1.6846426238166612,0.69,1.51,3.0,810.0,612.0,2.0,1.0,3.0,3.0,2.0,1.0,6.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,4.0,3.64,Latin America,Ecuador,cuenca,CUE,cuenca,Ecuador,61,2.9300000000000006,5.0,1.157142857142857,5.0,14.0,57.0,14.0,57.0,7.0,1312.0,1312,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/cuenca-ecuador.jpg?1705449654"
844.0,3.0,24.0,1983.0,1.0,2.23,3.38,2.0,1823.0,1157.0,4.0,3.0,3.0,3.0,3.0,3.0,28.0,4.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.53,Europe,Germany,berlin,BML,berlin,Germany,12,3.18,1.568,2.257142857142857,3.333333333333333,24.0,75.0,24.0,75.0,27.0,4503.0,4503,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/berlin-germany.jpg?1705881640"
1884.0,3.0,30.0,2288.0,3.0,0.0,4.03,2.0,2661.0,2193.0,4.0,1.0,2.0,3.0,3.0,4.0,101.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.45,Asia,Singapore,singapore,SIN,singapore,Singapore,30,3.03,1.8194285714285712,5.0,3.8235294117647056,33.0,91.0,33.0,91.0,85.0,4283.0,4283,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/singapore-singapore.jpg?1705708879"
1906.0,3.0,154.0,2318.0,2.0,1.83,4.36,1.0,2879.0,2284.0,2.0,1.0,3.0,3.0,3.0,1.0,13.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,4.0,2.0,4.0,4.0,4.02,Middle East,United Arab Emirates,dubai,DXB,dubai,United Arab Emirates,7,3.4,3.1714285714285717,1.2857142857142856,4.090909090909091,36.0,97.0,36.0,97.0,10.0,3100.0,3100,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/dubai-united-arab-emirates.jpg?1729036825"
619.0,4.0,29.0,976.0,1.0,0.62,2.47,3.0,1067.0,832.0,2.0,1.0,3.0,2.0,3.0,3.0,16.0,1.0,2.0,2.0,3.0,2.3832532594174496,1.0,0.0,3.0,3.0,1.0,4.0,4.45,Asia,Malaysia,kuala lumpur,KUL,kuala lumpur,Malaysia,3,3.4799999999999995,5.0,1.8142857142857145,3.888888888888889,32.0,90.0,32.0,90.0,19.0,1433.0,1433,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/kuala-lumpur-malaysia.jpg?1705622423"
418.0,3.0,24.0,1312.0,3.0,0.69,2.35,3.0,891.0,591.0,2.0,1.0,3.0,2.0,3.0,1.0,19.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0,4.54,Asia,Thailand,phuket,HKT,phuket,Thailand,35,3.0,4.596571428571428,1.9785714285714289,3.5,36.0,97.0,36.0,97.0,22.0,1853.0,1853,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/phuket-thailand.jpg?1705795247"
503.0,2.0,68.0,1312.0,1.0662196989600998,0.54,0.7,3.0,1064.0,631.0,1.0,1.0,4.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,3.0,2.043747692561886,1.0,0.0,3.0,2.0,1.0,1.0,4.45,Middle East,Jordan,amman,ADJ,amman,Jordan,71,2.9100000000000006,4.667428571428571,1.3642857142857143,5.0,20.0,68.0,20.0,68.0,11.0,1791.0,1791,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/amman-jordan.jpg?1705968247"
